Name,"HPDC, General Chairs:","HPDC, Local Chairs:","HPDC, Poster Chair:","HPDC, Program Committee:","HPDC, Publications Chair:","HPDC, Publicity Co-Chairs:","HPDC, Sponsorship Chairs:","HPDC, Steering Committee:","HPDC, Student Program Co-chairs:","HPDC, Technical Program Co-Chairs:","HPDC, Web Chair:","HPDC, Workshops Chair:","IEEE Cluster, Area 1: Application, Algorithms, and Libraries","IEEE Cluster, Area 2: Architecture, Network/Communications, and Management","IEEE Cluster, Area 3: Programming and System Software","IEEE Cluster, Area 4: Data, Storage, and Visualization","IEEE Cluster, Financial Chair","IEEE Cluster, General Co-Chairs","IEEE Cluster, General Vice Chair","IEEE Cluster, Industrial Co-Chairs","IEEE Cluster, Local Arranegement Co-Chairs","IEEE Cluster, On-line Operation Chair","IEEE Cluster, Poster Chair","IEEE Cluster, Poster Committee","IEEE Cluster, Proceedings Chair","IEEE Cluster, Program Co-Chairs","IEEE Cluster, Publicity/Web Chair","IEEE Cluster, Registration Chair","IEEE Cluster, Student Funding Liason","IEEE Cluster, Workshop Chair"
Abhishek Chandra,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adrian Tate,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adriana Iamnitchi,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aleksandar Ilic,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexandre Denis,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexandru Iosup,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alfredo Goldman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ali Anwar,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ali Butt,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ali R. Butt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
