Name,Year,USENIX_ATC,USENIX_FAST,DSN,HPDC,IEEECluster,HPCA,ICS,ISC
Sangeetha Abdu Jyothi,2020,1,0,0,0,0,0,0,0
Rachit Agarwal,2020,1,0,0,0,0,0,0,0
Rachit Agarwal,2018,1,0,0,0,0,0,0,0
Nitin Agrawal,2020,1,1,0,0,0,0,0,0
Nitin Agrawal,2019,1,1,0,0,0,0,0,0
Irfan Ahmad,2020,1,0,0,0,0,0,0,0
Irfan Ahmad,2019,1,0,0,0,0,0,0,0
Irfan Ahmad,2018,1,0,0,0,0,0,0,0
Gustavo Alonso,2020,1,0,0,0,0,0,0,0
Deniz Altinbuken,2020,1,0,0,0,0,0,0,0
Deniz Altinbuken,2019,1,0,0,0,0,0,0,0
Deniz Altinbuken,2018,1,0,0,0,0,0,0,0
George Amvrosiadis,2020,1,1,0,0,0,0,0,0
George Amvrosiadis,2019,0,0,0,1,0,0,0,0
Andrea Arpaci-Dusseau,2020,1,0,0,0,0,0,0,0
Andrea Arpaci-Dusseau,2018,0,1,0,0,0,0,0,0
Behnaz Arzani,2020,1,0,0,0,0,0,0,0
Mona Attariyan,2020,1,0,0,0,0,0,0,0
Anirudh Badam,2020,1,0,0,0,0,0,0,0
Anirudh Badam,2018,0,1,0,0,0,0,0,0
Anirudh Badam,2019,0,0,0,0,0,1,0,0
Saurabh Bagchi,2020,1,0,1,0,0,0,0,0
Saurabh Bagchi,2019,1,0,1,0,0,0,0,0
Antonio Barbalace,2020,1,0,0,0,0,0,0,0
Antonio Barbalace,2019,1,0,0,0,0,0,0,0
Ran Ben Basat,2020,1,0,0,0,0,0,0,0
Orna Agmon Ben-Yehuda,2020,1,0,0,0,0,0,0,0
Pramod Bhatotia,2020,1,1,0,0,0,0,0,0
Pramod Bhatotia,2018,1,1,0,0,0,0,0,0
Ken Birman,2020,1,0,0,0,0,0,0,0
Ken Birman,2019,1,0,0,0,0,0,0,0
Ken Birman,2018,0,0,1,0,0,0,0,0
Sergey Blagodurov,2020,1,0,0,0,0,0,0,0
Herbert Bos,2020,1,0,0,0,0,0,0,0
Herbert Bos,2019,1,0,0,0,0,0,0,0
Herbert Bos,2018,0,0,1,0,0,0,0,0
James Bottomley,2020,1,0,0,0,0,0,0,0
Kevin Butler,2020,1,0,0,0,0,0,0,0
Yinzhi Cao,2020,1,0,1,0,0,0,0,0
Zhen Cao,2020,1,0,0,0,0,0,0,0
Feng Chen,2020,1,0,0,0,0,0,0,0
Ming Chen,2020,1,0,0,0,0,0,0,0
Young-ri Choi,2020,1,1,0,0,0,0,0,0
Guilherme Cox,2020,1,0,0,0,0,0,0,0
Guilherme Cox,2019,0,0,0,0,1,0,0,0
Heming Cui,2020,1,0,1,0,0,0,0,0
Heming Cui,2019,0,0,1,0,0,0,0,0
Heming Cui,2018,0,0,1,0,0,0,0,0
Dilma Da Silva,2020,1,0,0,0,0,0,0,0
Dilma Da Silva,2019,1,0,0,0,0,0,0,0
Dilma Da Silva,2018,0,0,0,1,0,0,0,0
Alex Daglis,2020,1,0,0,0,0,0,0,0
David Devescery,2020,1,0,0,0,0,0,0,0
Abhinav Duggal,2020,1,0,0,0,0,0,0,0
Michael Ferdman,2020,1,0,0,0,0,0,0,0
Michael Ferdman,2019,0,0,0,0,0,1,0,0
Michael Ferdman,2018,0,0,0,0,0,1,0,0
Pedro Fonseca,2020,1,0,0,0,0,0,0,0
Moshe Gabel,2020,1,0,0,0,0,0,0,0
Moshe Gabel,2019,1,0,0,0,0,0,0,0
Manya Ghobadi,2020,1,0,0,0,0,0,0,0
Jana Giceva,2020,1,0,0,0,0,0,0,0
Ashvin Goel,2020,1,0,0,0,0,0,0,0
Ashvin Goel,2019,1,1,0,0,0,0,0,0
Ashvin Goel,2018,0,0,1,0,0,0,0,0
Xiaohui (Helen) Gu,2020,1,0,1,0,0,0,0,0
Xiaohui (Helen) Gu,2018,1,0,0,0,0,0,0,0
Vishakha Gupta-Cledat,2020,1,0,0,0,0,0,0,0
Andreas Haeberlen,2020,1,0,0,0,0,0,0,0
Dongsu Han,2020,1,0,0,0,0,0,0,0
Danny Harnik,2020,1,0,0,0,0,0,0,0
Tim Harris,2020,1,0,0,0,0,0,0,0
Tim Harris,2019,0,1,0,0,0,0,0,0
Eshcar Hillel,2020,1,0,0,0,0,0,0,0
Michio Honda,2020,1,0,0,0,0,0,0,0
Michio Honda,2018,1,0,0,0,0,0,0,0
Yu Hua,2020,1,1,0,0,0,0,0,0
Yu Hua,2019,1,0,0,0,0,0,0,0
Yu Hua,2018,1,0,0,0,0,0,0,0
Jian Huang,2020,1,1,0,0,0,1,0,0
Jian Huang,2019,1,0,0,0,1,0,0,0
Jian Huang,2018,1,0,0,0,1,0,0,0
Trent Jaeger,2020,1,0,0,0,0,0,0,0
Bill Jannen,2020,1,1,0,0,0,0,0,0
Bill Jannen,2019,1,1,0,0,0,0,0,0
Junchen Jiang,2020,1,0,0,0,0,0,0,0
Junchen Jiang,2018,1,0,0,0,0,0,0,0
Changhee Jung,2020,1,0,0,1,0,0,0,0
Changhee Jung,2019,0,0,0,1,0,0,0,0
Sudarsun Kannan,2020,1,0,0,0,0,0,0,0
Sudarsun Kannan,2019,1,0,0,0,0,0,0,0
Baris Kasikci,2020,1,0,0,0,0,0,0,0
Idit Keidar,2020,1,0,0,0,0,0,0,0
Ana  Klimovic,2020,1,0,0,0,0,0,0,0
Michael Kozuch,2020,1,0,0,0,0,0,0,0
Orran Krieger,2020,1,0,0,0,0,0,0,0
Mohan Kumar Kumar,2020,1,0,0,0,0,0,0,0
Youngjin Kwon,2020,1,0,0,0,0,0,0,0
Julia Lawall,2020,1,0,0,0,0,0,0,0
Julia Lawall,2018,1,0,0,0,0,0,0,0
Philip Levis,2020,1,0,0,0,0,0,0,0
Felix Lin,2020,1,0,0,0,0,1,0,0
Heiner Litz,2020,1,0,0,0,0,0,0,0
Vincent Liu,2020,1,0,0,0,0,0,0,0
Brandon Lucia,2020,1,0,0,0,0,0,0,0
Xiaosong Ma,2020,1,1,0,0,0,0,0,1
Xiaosong Ma,2018,1,0,0,1,0,0,0,0
Xiaosong Ma,2019,0,0,0,1,0,0,0,0
Peter Macko,2020,1,0,0,0,0,0,0,0
Peter Macko,2019,0,1,0,0,0,0,0,0
Harsha V. Madhyastha,2020,1,0,0,0,0,0,0,0
Carlos Maltzahn,2020,1,0,0,0,0,0,0,0
Carlos Maltzahn,2018,1,0,0,0,0,0,0,0
Carlos Maltzahn,2019,0,0,0,1,0,0,0,0
Alexander Merritt,2020,1,0,0,0,0,0,0,0
Michael Mesnier,2020,1,0,0,0,0,0,0,0
Changwoo Min,2020,1,1,0,0,0,0,0,0
Changwoo Min,2019,1,0,0,0,0,0,0,0
Changwoo Min,2018,1,0,0,0,0,0,0,0
Shuai Mu,2020,1,0,0,0,0,0,0,0
Gilles Muller,2020,1,0,0,0,0,0,0,0
Gilles Muller,2019,1,0,0,0,0,0,0,0
Kiran-Kumar Muniswamy-Reddy,2020,1,1,0,0,0,0,0,0
Srinivasan Narayanamurthy,2020,1,0,0,0,0,0,0,0
Ravi Netravali,2020,1,0,0,0,0,0,0,0
Radhika Niranjan Mysore,2020,1,0,0,0,0,0,0,0
Roberto Palmieri,2020,1,0,0,0,0,0,0,0
Aurojit Panda,2020,1,0,0,0,0,0,0,0
Aurojit Panda,2019,1,0,0,0,0,0,0,0
Gabriel  Parmer,2020,1,0,0,0,0,0,0,0
Raju Rangaswami,2020,1,0,0,0,0,0,0,0
Raju Rangaswami,2019,0,1,0,0,0,0,0,0
Oriana Riva,2020,1,0,0,0,0,0,0,0
Amitabha Roy,2020,1,0,0,0,0,0,0,0
Larry Rudolph,2020,1,0,0,0,0,0,0,0
Jack Sampson,2020,1,0,0,0,0,0,0,0
Jack Sampson,2018,0,0,0,0,0,1,0,0
Mahadev Satyanarayanan,2020,1,0,0,0,0,0,0,0
Jiri Schindler,2020,1,0,0,0,0,0,0,0
Jiri Schindler,2019,0,1,0,0,0,0,0,0
Malte Schwarzkopf,2020,1,0,0,0,0,0,0,0
Russell Sears,2020,1,0,0,0,0,0,0,0
Russell Sears,2018,1,0,0,0,0,0,0,0
Siddhartha Sen,2020,1,0,0,0,0,0,0,0
Siddhartha Sen,2018,1,0,0,0,0,0,0,0
Philip Shilane,2020,1,0,0,0,0,0,0,0
Philip Shilane,2018,0,1,0,0,0,0,0,0
Mark Silberstein,2020,1,0,0,0,0,0,0,0
Richard Spillane,2020,1,0,0,0,0,0,0,0
Scott Stoller,2020,1,0,0,0,0,0,0,0
Patrick Stuedi,2020,1,0,0,0,0,0,0,0
Patrick Stuedi,2019,1,0,0,0,0,0,0,0
Patrick Stuedi,2018,1,0,0,0,0,0,0,0
Lalith Suresh,2020,1,0,0,0,0,0,0,0
Lalith Suresh,2018,1,0,0,0,0,0,0,0
Amy Tai,2020,1,0,0,0,0,0,0,0
Eno Thereska,2020,1,0,0,0,0,0,0,0
Theodore Ts'o,2020,1,0,0,0,0,0,0,0
Theodore Ts'o,2019,1,0,0,0,0,0,0,0
Alexey Tumanov,2020,1,0,0,0,0,0,0,0
Keval Vora,2020,1,0,0,0,0,0,0,0
Keval Vora,2018,0,0,0,0,0,0,1,0
Ric Wheeler,2020,1,1,0,0,0,0,0,0
Ric Wheeler,2019,1,1,0,0,0,0,0,0
Avani Wildani,2020,1,1,0,0,0,0,0,0
Emmett Witchel,2020,1,0,0,0,0,0,0,0
Yue Yang,2020,1,0,0,0,0,0,0,0
Ming Zhao,2020,1,0,0,0,0,0,0,0
Ming Zhao,2018,0,1,0,0,0,0,0,0
Lin Zhong,2020,1,0,0,0,0,1,0,0
Noa Zilberman,2020,1,0,0,0,0,0,0,0
Nadav Amit,2019,1,0,0,0,0,0,0,0
Mahesh Balakrishnan,2019,1,1,0,0,0,0,0,0
Mahesh Balakrishnan,2018,1,1,0,0,0,0,0,0
Andrew Baumann,2019,1,0,0,0,0,0,0,0
Adam Belay,2019,1,0,0,0,0,0,0,0
Edward Bortnikov,2019,1,0,0,0,0,0,0,0
Andre Brinkmann,2019,1,0,0,0,0,0,0,0
